No,Nama,Prov,Kota_Kab,LAT,LON
31710101a,Istana,DKI Jakarta,Kota Adm. Jakarta Pusat,-6.17017,106.82
31710102a,Pompa / Pintu Air Cideng,DKI Jakarta,Kota Adm. Jakarta Pusat,-6.1736,106.8067
31710601a,Angke Hulu,DKI Jakarta,Kota Adm. Jakarta Pusat,-6.2025,106.83821
31710701a,Karet Pa,DKI Jakarta,Kota Adm. Jakarta Pusat,-6.19825,106.81
31710702a,Waduk Melati,DKI Jakarta,Kota Adm. Jakarta Pusat,-6.20102,106.8178
31720101a,Kapuk/ Tanjungan,DKI Jakarta,Kota Adm. Jakarta Utara,-6.10677,106.7258
31720102a,Teluk Gong,DKI Jakarta,Kota Adm. Jakarta Utara,-6.13358,106.7777
31720301a,Sunter III Rawabadak,DKI Jakarta,Kota Adm. Jakarta Utara,-6.12087,106.8966
31720401a,Rorotan/Rawa Rotan,DKI Jakarta,Kota Adm. Jakarta Utara,-6.13255,106.9598
31720601a,Sunter Timur I Kodamar,DKI Jakarta,Kota Adm. Jakarta Utara,-6.15507,106.887
31730201a,Tomang Barat,DKI Jakarta,Kota Adm. Jakarta Barat,-6.16715,106.78
31730501a,Kedoya Selatan,DKI Jakarta,Kota Adm. Jakarta Barat,-6.18333,106.75
31740101a,Manggarai,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.20733,106.85
31740201a,Setiabudi Timur,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.20467,106.8293
31740401a,Ps Minggu-Jt Padang,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.286,106.8364
31740402a,Ragunan,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.29447,106.8214
31740601a,Lebak Bulus Kebun Bibit,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.30417,106.7774
31740701a,Pakubowono,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.23332,106.7933
31740901a,Krukut Hulu,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.34435,106.799
31740902a,Ciganjur,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.3504,106.7823
31741001a,Pesanggrahan/ Depok,DKI Jakarta,Kota Adm. Jakarta Selatan,-6.39718,106.7723
31750201a,Pintu Air Pulo Gadung,DKI Jakarta,Kota Adm. Jakarta Timur,-6.19093,106.9045
31750802a,Bandara Halim,DKI Jakarta,Kota Adm. Jakarta Timur,-6.26248,106.8971
31751001a,Sunter Hulu,DKI Jakarta,Kota Adm. Jakarta Timur,-6.31758,106.92
